                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94032,                 1.0186,                 1.0619,                0.76152,                      1,                0.91018,                0.69401,                0.95796,                0.93053,                 1.1079,             0.00096634,             0.00096634,             0.00096634
                     36,                 1.0043,                 1.7511,                   1.05,                      1,                0.76582,                0.94143,                 0.6841,                 1.0475,                0.99128,                  1.141,             0.00096535,             0.00096535,             0.00096535
                     37,                0.79741,                0.96901,                0.89019,                      1,                0.76582,                0.94143,                 0.6841,                 1.0475,                0.99128,                  1.141,             0.00096436,             0.00096436,             0.00096436
                     38,                0.83885,                 1.0143,                 1.0921,                0.63115,                0.87851,                0.84976,                0.59085,                 1.1675,                 1.0781,                 1.1762,             0.00096337,             0.00096337,             0.00096337
                     39,                0.96402,                 1.1553,                  1.153,                0.52684,                  0.625,                0.70108,                0.47168,                 1.2523,                 1.1977,                 1.2259,             0.00096238,             0.00096238,             0.00096238
                     40,                0.98535,                 1.1956,                 1.1049,                0.98612,                    0.5,                  0.661,                0.44927,                 1.2341,                 1.3846,                 1.2209,             0.00096139,             0.00096139,             0.00096139
                     41,                0.83631,                 1.0326,                 1.0143,                0.98612,                    0.5,                  0.661,                0.44927,                 1.2341,                 1.3846,                 1.2209,              0.0009604,              0.0009604,              0.0009604
                     42,                0.86754,                0.95985,                 1.1283,                 0.9364,                    0.5,                0.72858,                0.48763,                 1.1133,                 1.6353,                 1.1622,             0.00095941,             0.00095941,             0.00095941
                     43,                 1.1307,                 1.2284,                 1.1642,                0.74796,                  0.625,                 0.7656,                0.54509,                 1.0129,                  1.392,                   1.11,             0.00095842,             0.00095842,             0.00095842
                     44,                0.85373,                0.90631,                0.96807,                0.65881,                      1,                   0.87,                 0.6453,                0.98397,                0.94271,                 1.0822,             0.00095743,             0.00095743,             0.00095743
                     45,                0.88756,                 1.7479,                0.99015,                0.65881,                      1,                   0.87,                 0.6453,                0.98397,                0.94271,                 1.0822,             0.00095644,             0.00095644,             0.00095644
                     46,                0.86638,                 1.1786,                 1.1028,                0.85454,                  0.875,                0.86021,                0.66118,                 1.0287,                0.81277,                 1.0989,             0.00095545,             0.00095545,             0.00095545
                     47,                0.76028,                 1.0586,                0.97573,                0.85832,                 0.8747,                0.87893,                0.63944,                 1.1435,                0.81681,                  1.177,             0.00095446,             0.00095446,             0.00095446
                     48,                 1.2732,                 1.5473,                 1.5833,                0.76808,                  0.875,                0.87893,                0.64193,                 1.1819,                  0.926,                 1.2143,             0.00095347,             0.00095347,             0.00095347
                     49,                 0.7939,                0.99815,                0.98517,                0.76808,                  0.875,                0.87893,                0.64193,                 1.1819,                  0.926,                 1.2143,             0.00095248,             0.00095248,             0.00095248
                     50,                 1.1307,                 1.6161,                 1.1072,                0.80203,                   0.75,                0.91018,                0.62653,                 1.2677,                 1.0018,                 1.2624,             0.00095149,             0.00095149,             0.00095149
                     51,                  1.116,                 1.0978,                 1.1954,                0.60805,                  0.875,                0.87893,                0.59878,                 1.3251,                 0.9893,                 1.2734,              0.0009505,              0.0009505,              0.0009505
                     52,                0.85054,                 1.0872,                  1.019,                0.72269,                0.93429,                   0.92,                0.63307,                  1.279,                0.92871,                 1.2236,             0.00094951,             0.00094951,             0.00094951
                     53,                0.71864,                0.86974,                0.91388,                0.72269,                0.93429,                   0.92,                0.63307,                  1.279,                0.92871,                 1.2236,             0.00094852,             0.00094852,             0.00094852
                     54,                0.73893,                 1.4607,                 1.0451,                0.80678,                      1,                   0.92,                0.63822,                 1.2436,                0.89706,                 1.2113,             0.00094753,             0.00094753,             0.00094753
                     55,                0.78121,                0.92152,                 1.0825,                0.77369,                      1,                0.89083,                0.62245,                 1.2447,                0.91156,                 1.2213,             0.00094654,             0.00094654,             0.00094654
                     56,                0.85256,                0.92549,                 1.0362,                0.77655,                      1,                0.89083,                 0.6266,                 1.2015,                 0.8798,                 1.1961,             0.00094555,             0.00094555,             0.00094555
                     57,                 1.0017,                 1.1371,                 1.0841,                0.77655,                      1,                0.89083,                 0.6266,                 1.2015,                 0.8798,                 1.1961,             0.00094456,             0.00094456,             0.00094456
                     58,                0.77581,                 1.1421,                 1.0312,                0.86884,                      1,                   0.92,                0.66638,                 1.1485,                0.78231,                 1.1702,             0.00094357,             0.00094357,             0.00094357
                     59,                0.97216,                 1.2519,                  1.269,                0.87871,                      1,                   0.92,                0.66315,                 1.1183,                0.73561,                 1.1645,             0.00094258,             0.00094258,             0.00094258
                     60,                0.76426,                 1.0381,                  0.914,                0.88468,                      1,                   0.97,                 0.7058,                 1.1151,                0.83109,                 1.1866,             0.00094159,             0.00094159,             0.00094159
                     61,                0.67316,                0.98313,                0.95517,                0.88468,                      1,                   0.97,                 0.7058,                 1.1151,                0.83109,                 1.1866,              0.0009406,              0.0009406,              0.0009406
                     62,                0.90841,                0.94032,                 1.1292,                0.88587,                      1,                   0.97,                0.72111,                 1.0856,                0.92446,                  1.175,             0.00093961,             0.00093961,             0.00093961
                     63,                0.95542,                 0.9508,                0.99779,                0.88518,                      1,                   0.97,                0.71902,                 1.0777,                0.94621,                 1.1531,             0.00093862,             0.00093862,             0.00093862
                     64,                0.75716,                0.96704,                0.96682,                0.87943,                      1,                   0.97,                0.67967,                  1.116,                0.96938,                 1.1659,             0.00093763,             0.00093763,             0.00093763
                     65,                0.54365,                 1.4777,                0.68353,                0.87943,                      1,                   0.97,                0.67967,                  1.116,                0.96938,                 1.1659,             0.00093664,             0.00093664,             0.00093664
                     66,                0.82598,                0.99624,                 1.0033,                 0.8876,                      1,                   0.97,                0.67133,                 1.1738,                0.86329,                  1.201,             0.00093565,             0.00093565,             0.00093565
                     67,                0.85905,                 1.0307,                 1.3345,                0.88755,                      1,                   0.97,                0.66154,                 1.1976,                0.79411,                 1.2284,             0.00093466,             0.00093466,             0.00093466
                     68,                0.90333,                0.89415,                 1.2051,                0.88801,                      1,                   0.97,                0.64364,                 1.2406,                0.76221,                 1.2735,             0.00093367,             0.00093367,             0.00093367
                     69,                 0.7427,                 1.2257,                 0.9574,                0.88801,                      1,                   0.97,                0.64364,                 1.2406,                0.76221,                 1.2735,             0.00093268,             0.00093268,             0.00093268
                     70,                0.62755,                0.84122,                0.95454,                0.87741,                      1,                   0.97,                0.64224,                 1.2852,                0.78283,                 1.3062,             0.00093169,             0.00093169,             0.00093169
                     71,                 1.0426,                 1.0447,                 1.0423,                0.86812,                      1,                   0.97,                0.63141,                 1.2438,                0.88372,                 1.2708,              0.0009307,              0.0009307,              0.0009307
                     72,                0.73734,                0.74827,                0.99373,                0.87134,                      1,                   0.97,                 0.7068,                 1.1008,                0.96786,                 1.1788,             0.00092971,             0.00092971,             0.00092971
                     73,                0.65783,                0.82167,                0.93614,                0.87134,                      1,                   0.97,                 0.7068,                 1.1008,                0.96786,                 1.1788,             0.00092872,             0.00092872,             0.00092872
                     74,                 0.9424,                0.83772,                  1.143,                0.87061,                      1,                  0.945,                 0.7123,                 1.0953,                 0.9705,                  1.177,             0.00092773,             0.00092773,             0.00092773
                     75,                0.95735,                 0.9041,                 1.0908,                0.87505,                      1,                  0.945,                0.69097,                 1.1349,                0.85438,                 1.1951,             0.00092674,             0.00092674,             0.00092674
                     76,                0.75991,                0.77871,                0.99329,                0.88005,                      1,                  0.945,                0.68105,                 1.1079,                  0.753,                 1.1801,             0.00092575,             0.00092575,             0.00092575
                     77,                0.90251,                0.95806,                 1.0824,                0.88005,                      1,                  0.945,                0.68105,                 1.1079,                  0.753,                 1.1801,             0.00092476,             0.00092476,             0.00092476
                     78,                0.64765,                0.96927,                0.95682,                0.88385,                      1,                   0.92,                0.62994,                 1.1713,                0.73181,                 1.2258,             0.00092377,             0.00092377,             0.00092377
                     79,                0.80984,                0.84731,                 1.0696,                0.87961,                0.99951,                   0.92,                0.60667,                  1.252,                0.74008,                 1.2808,             0.00092278,             0.00092278,             0.00092278
                     80,                0.99245,                 1.4092,                 1.0106,                0.87191,                      1,                  0.945,                0.62255,                  1.244,                  0.813,                 1.2741,             0.00092179,             0.00092179,             0.00092179
                     81,                0.80076,                0.97397,                 1.1098,                0.87191,                      1,                  0.945,                0.62255,                  1.244,                  0.813,                 1.2741,              0.0009208,              0.0009208,              0.0009208
                     82,                0.86062,                  0.976,                 1.1178,                0.85908,                 0.9979,                   0.97,                0.56374,                 1.3946,                0.94009,                  1.382,             0.00091981,             0.00091981,             0.00091981
                     83,                0.66871,                0.76297,                 1.0333,                0.83961,                      1,                   0.97,                0.50601,                 1.4905,                  1.098,                  1.455,             0.00091882,             0.00091882,             0.00091882
                     84,                0.92431,                0.82622,                 1.0495,                0.96056,                0.98188,                  0.995,                0.53082,                 1.4912,                 1.0919,                 1.4472,             0.00091783,             0.00091783,             0.00091783
                     85,                 1.1276,                 1.2327,                 1.1739,                0.96056,                0.98188,                  0.995,                0.53082,                 1.4912,                 1.0919,                 1.4472,             0.00091684,             0.00091684,             0.00091684
                     86,                0.70511,                0.77654,                 1.0012,                 0.9202,                      1,                  0.995,                0.57018,                 1.4221,                0.97277,                 1.3859,             0.00091585,             0.00091585,             0.00091585
                     87,                0.75626,                0.80751,                0.88994,                 0.9281,                      1,                  0.995,                0.60958,                 1.2933,                0.82536,                 1.2821,             0.00091486,             0.00091486,             0.00091486
                     88,                0.80677,                0.86205,                0.96585,                0.93098,                      1,                  0.995,                 0.6637,                 1.1045,                0.71881,                 1.1559,             0.00091387,             0.00091387,             0.00091387
                     89,                0.80652,                0.78526,                 1.0447,                0.93098,                      1,                  0.995,                 0.6637,                 1.1045,                0.71881,                 1.1559,             0.00091288,             0.00091288,             0.00091288
                     90,                0.84083,                 0.9533,                 1.1175,                0.94753,                      1,                  0.995,                0.69598,                 1.0029,                0.69475,                 1.0853,             0.00091189,             0.00091189,             0.00091189
                     91,                0.76028,                0.75314,                0.97264,                0.96324,                      1,                  0.995,                0.69833,                 1.0224,                0.68545,                  1.083,              0.0009109,              0.0009109,              0.0009109
                     92,                0.88662,                0.81858,                0.99845,                0.98041,                0.99424,                  0.995,                 0.7139,                 1.0883,                0.66473,                  1.104,             0.00090991,             0.00090991,             0.00090991
                     93,                0.77899,                0.76623,                0.91856,                0.98041,                0.99424,                  0.995,                 0.7139,                 1.0883,                0.66473,                  1.104,             0.00090892,             0.00090892,             0.00090892
                     94,                0.91711,                0.80895,                 1.0312,                 0.9832,                      1,                  0.995,                0.72311,                 1.1594,                0.67042,                 1.1357,             0.00090793,             0.00090793,             0.00090793
                     95,                0.90547,                0.74336,                 1.0064,                0.96811,                      1,                  0.995,                0.71458,                 1.1949,                 0.6976,                 1.1557,             0.00090694,             0.00090694,             0.00090694
                     96,                0.92955,                0.79278,                0.92502,                 0.9537,                      1,                  0.995,                 0.6835,                 1.2562,                0.75892,                 1.2006,             0.00090595,             0.00090595,             0.00090595
                     97,                0.54174,                 1.1058,                0.68079,                 0.9537,                      1,                  0.995,                 0.6835,                 1.2562,                0.75892,                 1.2006,             0.00090496,             0.00090496,             0.00090496
                     98,                0.80548,                 1.2153,                0.99188,                0.94283,                      1,                  0.995,                0.64557,                 1.3214,                0.79905,                 1.2621,             0.00090397,             0.00090397,             0.00090397
                     99,                0.70935,                0.68461,                0.81629,                0.90835,                0.98968,                  0.995,                0.58684,                 1.4124,                0.83537,                 1.3468,             0.00090298,             0.00090298,             0.00090298
                    100,                 0.7793,                0.71314,                 1.0238,                0.87247,                0.99322,                  0.995,                0.55457,                 1.4444,                0.81079,                 1.3908,             0.00090199,             0.00090199,             0.00090199
                    101,                0.76234,                0.78367,                0.98095,                0.87247,                0.99322,                  0.995,                0.55457,                 1.4444,                0.81079,                 1.3908,               0.000901,               0.000901,               0.000901
                    102,                0.54806,                 1.0991,                0.62512,                0.87328,                0.98484,                  0.995,                0.59145,                 1.3593,                0.76968,                 1.3398,             0.00090001,             0.00090001,             0.00090001
                    103,                0.90259,                0.79919,                 1.4367,                0.88514,                0.99217,                  0.995,                0.66493,                 1.2244,                0.73849,                 1.2465,             0.00089902,             0.00089902,             0.00089902
                    104,                0.72165,                0.74193,                0.96533,                0.90198,                0.98982,                  0.995,                0.66773,                 1.1635,                0.71527,                 1.2063,             0.00089803,             0.00089803,             0.00089803
                    105,                 1.1695,                 1.2127,                 1.3772,                0.90198,                0.98982,                  0.995,                0.66773,                 1.1635,                0.71527,                 1.2063,             0.00089704,             0.00089704,             0.00089704
                    106,                0.88307,                0.85458,                 1.0263,                0.91258,                0.98483,                  0.995,                0.69143,                 1.1406,                0.70386,                 1.1902,             0.00089605,             0.00089605,             0.00089605
                    107,                0.70129,                0.77501,                0.98088,                0.93188,                0.99011,                  0.995,                0.71233,                 1.0995,                0.66912,                 1.1728,             0.00089506,             0.00089506,             0.00089506
                    108,                0.78193,                0.77379,                 1.0659,                0.94457,                0.99726,                  0.995,                0.71772,                 1.0291,                0.63386,                 1.1434,             0.00089407,             0.00089407,             0.00089407
                    109,                0.51369,                 1.0048,                0.62603,                0.94457,                0.99726,                  0.995,                0.71772,                 1.0291,                0.63386,                 1.1434,             0.00089308,             0.00089308,             0.00089308
                    110,                0.72316,                0.73074,                0.93769,                0.94637,                      1,                  0.995,                0.74964,                0.97647,                0.62077,                 1.1165,             0.00089209,             0.00089209,             0.00089209
                    111,                0.96583,                0.72345,                 1.1607,                0.94061,                      1,                  0.995,                0.72473,                 1.0134,                0.61819,                 1.1376,              0.0008911,              0.0008911,              0.0008911
                    112,                0.71601,                0.60572,                0.99165,                0.93996,                      1,                  0.995,                0.65475,                  1.127,                0.62648,                 1.2041,             0.00089011,             0.00089011,             0.00089011
                    113,                0.65657,                 0.6631,                0.97364,                0.93996,                      1,                  0.995,                0.65475,                  1.127,                0.62648,                 1.2041,             0.00088912,             0.00088912,             0.00088912
